year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2003,6785,3937,3519,2288,1572,1326,2104,3815,5844,6376,6739,6411,9168,7386,7508,8049,8318,9107,9722,8563,7574,7553,7954,7558
2004,7308,3966,3382,2227,1565,1426,2152,3869,5932,6143,6743,6812,8749,7407,7790,7847,8096,9112,9398,8058,7446,7551,8007,7485
2005,6993,3965,3391,2230,1637,1377,2135,3817,5964,6088,6305,6460,8414,6818,7156,7495,7847,8797,8876,8007,7132,7032,7560,7095
2006,7001,3941,3431,2166,1486,1405,1998,3579,5526,5947,6277,6057,8635,6712,7012,7544,7933,8357,8510,7428,6746,6695,7117,6744
2007,6851,4101,3449,2110,1516,1364,2065,3419,5259,5688,6041,6028,8392,6854,7224,7459,7754,8424,8558,7617,6969,6834,7328,6702
2008,7626,4275,3625,2249,1617,1322,2252,3730,5310,5618,5968,6101,8114,7357,7697,8060,8356,8753,8557,7517,7014,6742,7072,6738
2009,7648,4479,3947,2258,1602,1130,2239,3808,5298,5783,6077,6055,8384,7176,7468,7767,8000,8198,8431,7238,6732,6706,7265,6526
2010,7501,4182,3555,2124,1475,1224,2008,3322,4825,5341,5640,5642,7837,6417,6557,7314,7652,8157,8286,7682,6993,6479,7046,6609
2011,7831,4235,3608,2113,1500,1454,1998,3044,5003,5204,5503,5862,7814,6249,6613,7155,7554,8002,8180,7283,6889,6440,6833,6727
2012,7790,4606,3588,2302,1579,1480,2139,3186,5035,5324,5734,6037,8274,6712,6954,7845,8217,8752,9200,8152,7283,7047,7397,6634
2013,8147,4860,3848,2483,1760,1648,2340,4037,5467,6090,6400,6584,9081,7570,7710,8327,8598,9349,9751,8825,7868,7498,7791,7134
2014,7239,4362,3646,2540,1711,1644,2200,3557,5139,5864,6226,6484,8835,7135,7386,8125,8694,9395,9881,9119,8467,7782,7950,7137
2015,8033,4581,3720,2651,1840,1715,2319,3756,5289,6185,6495,6955,9603,7573,7401,8254,8763,9568,10565,9666,8754,8020,8035,7186
2016,7065,4373,3505,2556,1895,1753,2525,3918,5617,5902,6503,6824,9113,7297,7658,8360,8678,9604,9739,9010,8120,7514,7140,6628
2017,7453,4229,3443,2578,2006,1652,2383,3670,5390,6039,6875,7335,9753,7728,7759,8289,8641,9387,10475,9547,8652,7690,7672,6608
